,year,gender,age,fasting_time,has_hypertension_diagnosis,hypertension_prevalence,has_diabetes_diagnosis,diabetes_prevalence,drinking_experience,drinking_frequency,drinking_amount_per_session,smoking_status,smoking_fr_per_day,sbp,dbp,pulse,height,weight,waist_circumference,bmi,fbs,hba1c,total_cholesterol,hdl,triglyceride,ldl,ast,alt,creatinine,urine_protein,urine_glucose,family_history_diabetes,family_history_hypertension
drinking_amount_per_session,0.02530866085375857,0.41799434366038735,-0.3889537416338399,-0.04479949555972522,0.0025230052957445404,-0.01650240805909664,-0.009200334674718362,-0.01222903941423589,-0.5506808505238849,0.16943654115557688,1.0,-0.4328825456313151,0.3244081154349925,-0.04526408804401899,0.2197142114625032,-0.03141946696399398,0.42842724740900423,0.3664543036711282,0.1772495082156977,0.12718413474412968,0.0923028833214795,0.004798297295981536,0.05053720579639257,-0.0020706361673421573,0.22524533601505228,-0.012509639133560532,0.10801865325942654,0.15094229467745393,0.05657669744508907,0.06006441432020308,0.1011066228826398,0.04393819407036478,0.056927721840135725
smoking_status,-0.0037226236663439297,-0.5779947164693688,0.16011637375787163,0.09561608110866401,0.04079971737913161,0.05455576135629571,-0.05340321882609805,-0.04915081826966228,0.3869377844530276,-0.05271269997961758,-0.4328825456313151,1.0,-0.6888641580336845,0.08191067243968743,-0.04243986072914139,-0.062121719893367906,-0.4580474532464888,-0.2834086093365869,-0.14202594222612497,0.003213377453799543,-0.08360550298029347,-0.043349920200439214,0.05249310714123176,0.14092301810254967,-0.14862415111687563,0.04827600868184884,-0.0579245899908131,-0.09495739253232147,-0.17879099671125315,-0.05738296132412189,-0.07962375570714417,0.0006675880262754985,0.05768284150265924
smoking_fr_per_day,-0.011146360802053378,0.30644057987670437,-0.21610164085435646,-0.07531471412235985,-0.056173012982866824,-0.05779430956470087,0.04933471671601274,0.048629761880985646,-0.15946466507869295,0.16530367408020188,0.3244081154349925,-0.6888641580336845,1.0,-0.06677738950684269,0.06652489107310246,0.05463347028035277,0.27398836188217157,0.1798260725326637,0.07812033571910856,0.010696658270717172,0.08854426663829847,0.08019233348295934,-0.004976300243981031,-0.10691219158956027,0.15850833479485482,-0.009884113495277774,0.044081948815713576,0.0667085543606024,0.06823790638568958,0.0619557460177545,0.07917661972545872,0.04896155582497423,0.0034173130582859
sbp,-0.028202992373274307,-0.0771750605225246,0.185776455325841,0.04045906713882558,0.17741548197084028,0.14154995068869,-0.09703690996667556,-0.0974236056084049,0.06404999269316723,0.02342116474528284,-0.04526408804401899,0.08191067243968743,-0.06677738950684269,1.0,0.4790019642785064,-0.04372349558399766,-0.13764713003841522,-0.07353782649815432,0.00952309276276042,0.013508155606904063,-0.04137019926526286,-0.057360588326109296,0.12015139969141626,0.045475654421141286,0.03754176717564344,0.10784990933953897,0.0158908331595484,-0.02200582177325696,0.004472086171794454,0.028546296192806662,-0.051339133586809964,-0.06723977215992999,0.010006289253791798
dbp,0.008964156365881173,0.09202164737062946,-0.38122241673251556,0.03730244629619312,0.11656515636293799,0.05662493609852827,-0.1782397876754186,-0.1834516256782994,-0.14948774908764934,0.029848932919934103,0.2197142114625032,-0.04243986072914139,0.06652489107310246,0.4790019642785064,1.0,0.151154962970999,0.18641735603113144,0.22387662013540688,0.08311509705395081,0.14210038443848264,-0.04339212680751713,-0.09331567120288661,0.20669451105765205,0.06099385157267966,0.14058512252730318,0.18091505506962474,0.05162930901692754,0.13053500092509995,-0.029719596769629084,0.02961814015548467,-0.020020266470614573,0.014947594660562806,0.16184864086064774
pulse,0.06787239907314778,-0.05646904129690104,0.057007359214571694,-0.037996987489323876,-0.007738178910469896,-0.00511495664498689,0.06446820661514975,0.05821397777632975,0.023010281565086936,0.02990823266981811,-0.03141946696399398,-0.062121719893367906,0.05463347028035277,-0.04372349558399766,0.151154962970999,1.0,-0.05450574188396363,-0.07178413747997417,-0.01544142185369808,-0.05779067528928555,0.23050846996194088,0.1425931284066433,0.019267596337166373,0.05982438044580181,0.0858177948381702,-0.044140095547329686,0.053561314156018024,-0.0059450672018213505,-0.02827926208941373,0.07119024309985238,0.07799806550473677,-0.007142104047057783,-0.042280314261633936
height,0.05153857761990073,0.7491392338596001,-0.41232651312653096,-0.04713828684663388,-0.06121189428920423,-0.09525341526399957,0.03721170815035866,0.036005933665599454,-0.3261868097804314,0.14229593767278417,0.42842724740900423,-0.4580474532464888,0.27398836188217157,-0.13764713003841522,0.18641735603113144,-0.05450574188396363,1.0,0.6742675118360897,0.3027657852976255,0.07068762814985745,0.09499269413298156,0.028482849049977277,-0.047648827292602794,-0.15021621947431255,0.14004551710528806,-0.024240869462576302,0.03917978757549903,0.16235597682090747,0.234128274083032,0.05721332469024059,0.12023084790649594,0.0633110435409605,0.040327420122661356
weight,0.04673608277443962,0.4712687774278809,-0.4410810496692745,-0.03161171432051462,0.024689452891906973,0.013969566978543976,0.023147525866273375,0.023891650367031437,-0.23590788562457757,0.07257980165556502,0.3664543036711282,-0.2834086093365869,0.1798260725326637,-0.07353782649815432,0.22387662013540688,-0.07178413747997417,0.6742675118360897,1.0,0.8068053734020375,0.7781562499123593,0.11982338660467598,0.07355663996179203,-0.012336215162684993,-0.2196994964093942,0.2070763659734916,0.031277722554903145,0.07623967472487532,0.26595886435253846,0.13776480798540736,0.0569624059433369,0.10667181921467353,0.06496730053427682,0.0898313959953272
waist_circumference,0.06645762809103328,0.24121396891894017,-0.10092617956969027,-0.014056980511792543,0.05634737447335551,0.07566986692045026,0.06984646699068188,0.07571731896026528,-0.08174437424133058,0.05578685086280289,0.1772495082156977,-0.14202594222612497,0.07812033571910856,0.00952309276276042,0.08311509705395081,-0.01544142185369808,0.3027657852976255,0.8068053734020375,1.0,0.8443187620685579,0.14134393625593974,0.13347119229255494,-0.04356615640675729,-0.23600220267711589,0.1886743270789164,0.002876086014236167,0.08335862060736864,0.21126346582893415,0.09444702426355991,0.05133443744445311,0.09262852884622327,0.007378736727961995,-0.002766553010156952
bmi,0.018421234967766646,0.010135156218933591,-0.23832735648895764,-0.0017933738489228608,0.08680690900827093,0.10164764365845673,-0.001140035659699315,0.0014094327858685453,-0.04472404837642323,-0.01859876613263874,0.12718413474412968,0.003213377453799543,0.010696658270717172,0.013508155606904063,0.14210038443848264,-0.05779067528928555,0.07068762814985745,0.7781562499123593,0.8443187620685579,1.0,0.08305339035102827,0.07583502334103924,0.01936955601655233,-0.16990727806440167,0.15700459398583688,0.06038488611209318,0.0692529070299335,0.21521765576072674,-0.00729318670374495,0.030107708999059426,0.04126079970710445,0.030547072221312872,0.08591302425827059
